,D01,D02,D03,D04,D05,D06,D07,S01,S02,S03,S04,S05,M01,M02,M03,M04,M05,M06,M07,O01
2023-09-20,0,0,0,1,0,0,0,1525.3400000000001,1013.9100000000001,1088.8400000000001,1582.6,1385.41,558.0,209.0,144.75,356.75,41.5,11.0,20.0,463.40000000000003
2023-09-19,0,0,1,0,0,0,0,1667.18,1155.8,2244.519999999999,1366.16,1663.77,316.5,112.5,100.0,295.0,19.5,11.0,10.0,307.04
2023-09-18,0,1,0,0,0,0,0,768.8,4057.89,713.3,1370.79,1062.28,488.5,210.0,118.25,21.5,22.0,0.0,10.0,483.08000000000004
2023-09-17,1,0,0,0,0,0,0,0,0,0,0,0,1620.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0
2023-09-16,0,0,0,0,0,0,1,3400.659999999999,3568.0999999999995,3172.8699999999994,4132.859999999999,3492.379999999999,1391.25,436.5,213.5,868.25,107.25,0.0,5.0,765.9999999999995
2023-09-15,0,0,0,0,0,1,0,1989.28,2407.88,2348.21,2689.039999999999,1858.13,1297.5,481.25,138.0,291.5,75.25,11.0,35.0,528.4399999999999
2023-09-14,0,0,0,0,1,0,0,1337.22,1642.3200000000002,1681.63,1506.08,1514.26,539.0,327.0,148.5,254.5,85.5,0.0,25.0,413.88000000000005
2023-09-13,0,0,0,1,0,0,0,1013.9100000000001,1088.8400000000001,1582.6,1385.41,1132.8400000000001,511.5,252.0,91.0,170.25,64.75,0.0,55.0,380.84000000000003
2023-09-12,0,0,1,0,0,0,0,1155.8,2244.519999999999,1366.16,1663.77,1613.22,914.5,210.25,105.25,107.75,28.75,0.0,65.0,235.68
2023-09-11,0,1,0,0,0,0,0,4057.89,713.3,1370.79,1062.28,643.0,321.0,76.0,49.0,61.0,11.0,11.0,30.0,209.8
2023-09-09,0,0,0,0,0,0,1,3568.0999999999995,3172.8699999999994,4132.859999999999,3492.379999999999,4097.249999999999,1327.25,236.25,228.5,508.75,239.75,22.0,0.0,838.1599999999992
2023-09-08,0,0,0,0,0,1,0,2407.88,2348.21,2689.039999999999,1858.13,1955.42,777.5,307.5,124.5,236.75,53.75,33.0,40.0,416.28000000000003
2023-09-07,0,0,0,0,1,0,0,1642.3200000000002,1681.63,1506.08,1514.26,1857.9,410.0,178.5,72.75,234.5,20.75,11.0,15.0,394.72
2023-09-06,0,0,0,1,0,0,0,1088.8400000000001,1582.6,1385.41,1132.8400000000001,1930.3,360.0,200.5,69.75,165.25,30.25,0.0,0.0,188.16000000000003
2023-09-05,0,0,1,0,0,0,0,2244.519999999999,1366.16,1663.77,1613.22,1619.9,392.0,148.0,104.0,217.0,33.0,0.0,10.0,251.8
2023-09-04,0,1,0,0,0,0,0,713.3,1370.79,1062.28,643.0,1350.0,777.0,1149.75,505.0,298.0,20.5,11.0,10.0,1286.6399999999999
2023-09-02,0,0,0,0,0,0,1,3172.8699999999994,4132.859999999999,3492.379999999999,4097.249999999999,3039.999999999999,1311.25,583.25,233.75,487.25,128.0,22.0,10.0,792.5999999999997
2023-09-01,0,0,0,0,0,1,0,2348.21,2689.039999999999,1858.13,1955.42,3013.6899999999996,814.25,284.75,107.25,496.0,53.75,44.0,45.0,562.8800000000001
2023-08-31,0,0,0,0,1,0,0,1681.63,1506.08,1514.26,1857.9,1569.52,582.0,330.25,147.25,205.5,0.0,11.0,20.0,346.32000000000005
2023-08-30,0,0,0,1,0,0,0,1582.6,1385.41,1132.8400000000001,1930.3,4462.45,477.5,155.5,79.0,129.5,9.5,0.0,5.0,232.84000000000003
2023-08-29,0,0,1,0,0,0,0,1366.16,1663.77,1613.22,1619.9,1349.97,627.75,157.75,47.0,345.75,66.75,121.0,35.0,843.5199999999991
2023-08-28,0,1,0,0,0,0,0,1370.79,1062.28,643.0,1350.0,0,175.0,139.0,58.0,149.5,0.0,0.0,0.0,191.8
2023-08-26,0,0,0,0,0,0,1,4132.859999999999,3492.379999999999,4097.249999999999,3039.999999999999,3252.499999999999,1149.25,306.0,175.25,509.0,140.25,66.0,10.0,817.1199999999994
2023-08-25,0,0,0,0,0,1,0,2689.039999999999,1858.13,1955.42,3013.6899999999996,3158.0599999999995,686.5,207.5,191.0,487.25,40.0,0.0,35.0,700.96
2023-08-24,0,0,0,0,1,0,0,1506.08,1514.26,1857.9,1569.52,2237.75,733.5,335.5,105.0,126.75,22.0,11.0,25.0,322.88000000000005
2023-08-23,0,0,0,1,0,0,0,1385.41,1132.8400000000001,1930.3,4462.45,1516.03,551.25,239.0,84.0,204.25,89.5,22.0,5.0,387.6
2023-08-22,0,0,1,0,0,0,0,1663.77,1613.22,1619.9,1349.97,1431.3400000000001,487.5,199.5,115.5,204.75,58.75,22.0,50.0,228.16000000000003
2023-08-21,0,1,0,0,0,0,0,1062.28,643.0,1350.0,0,0,440.5,234.25,83.0,202.0,0.0,0.0,25.0,386.04
2023-08-19,0,0,0,0,0,0,1,3492.379999999999,4097.249999999999,3039.999999999999,3252.499999999999,3084.5699999999997,1404.75,586.0,197.5,573.75,218.5,33.0,40.0,1079.359999999999
